date,risk_score,raw_score,threshold,status,n_articles,top_contributor,details_json
2026-03-02,2.99,0.1878,18.52,NORMAL,301237,Property_001,"{""Property_001"": {""ratio"": 1.4927, ""contribution"": 0.1395}, ""Property_030"": {""ratio"": 1.3397, ""contribution"": 0.0483}, ""Property_013"": {""ratio"": 0.7489, ""contribution"": 0.0}, ""Property_023"": {""ratio"": 0.776, ""contribution"": 0.0}, ""Property_024"": {""ratio"": 0.7401, ""contribution"": 0.0}, ""Property_049"": {""ratio"": 0.762, ""contribution"": 0.0}, ""Property_055"": {""ratio"": 0.8504, ""contribution"": 0.0}, ""Property_068"": {""ratio"": 0.7552, ""contribution"": 0.0}, ""Property_070"": {""ratio"": 0.7011, ""contribution"": 0.0}, ""Property_078"": {""ratio"": 0.8571, ""contribution"": 0.0}, ""Property_110"": {""ratio"": 0.0888, ""contribution"": 0.0}, ""Property_113"": {""ratio"": 0.5667, ""contribution"": 0.0}}"
2019-11-21,6.12,0.3848,18.52,NORMAL,358614,Property_024,"{""Property_024"": {""ratio"": 1.1456, ""contribution"": 0.1162}, ""Property_001"": {""ratio"": 1.3127, ""contribution"": 0.0886}, ""Property_078"": {""ratio"": 1.0672, ""contribution"": 0.0672}, ""Property_055"": {""ratio"": 1.0505, ""contribution"": 0.045}, ""Property_030"": {""ratio"": 1.226, ""contribution"": 0.0321}, ""Property_049"": {""ratio"": 1.0489, ""contribution"": 0.0317}, ""Property_023"": {""ratio"": 1.0142, ""contribution"": 0.0041}, ""Property_013"": {""ratio"": 0.905, ""contribution"": 0.0}, ""Property_068"": {""ratio"": 0.8685, ""contribution"": 0.0}, ""Property_070"": {""ratio"": 0.909, ""contribution"": 0.0}, ""Property_110"": {""ratio"": 0.9693, ""contribution"": 0.0}, ""Property_113"": {""ratio"": 0.8848, ""contribution"": 0.0}}"
2020-02-11,7.15,0.4499,18.52,NORMAL,311026,Property_024,"{""Property_024"": {""ratio"": 1.341, ""contribution"": 0.2721}, ""Property_070"": {""ratio"": 1.1742, ""contribution"": 0.1493}, ""Property_113"": {""ratio"": 1.057, ""contribution"": 0.0285}, ""Property_001"": {""ratio"": 0.9481, ""contribution"": 0.0}, ""Property_013"": {""ratio"": 0.752, ""contribution"": 0.0}, ""Property_023"": {""ratio"": 0.8359, ""contribution"": 0.0}, ""Property_030"": {""ratio"": 0.8519, ""contribution"": 0.0}, ""Property_049"": {""ratio"": 0.9571, ""contribution"": 0.0}, ""Property_055"": {""ratio"": 0.8717, ""contribution"": 0.0}, ""Property_068"": {""ratio"": 0.9017, ""contribution"": 0.0}, ""Property_078"": {""ratio"": 0.8813, ""contribution"": 0.0}, ""Property_110"": {""ratio"": 0.895, ""contribution"": 0.0}}"
2020-02-20,14.56,0.9156,18.52,NORMAL,335324,Property_024,"{""Property_024"": {""ratio"": 1.6476, ""contribution"": 0.5167}, ""Property_070"": {""ratio"": 1.2831, ""contribution"": 0.2427}, ""Property_113"": {""ratio"": 1.178, ""contribution"": 0.0889}, ""Property_049"": {""ratio"": 1.0783, ""contribution"": 0.0508}, ""Property_001"": {""ratio"": 1.0583, ""contribution"": 0.0165}, ""Property_013"": {""ratio"": 0.8431, ""contribution"": 0.0}, ""Property_023"": {""ratio"": 0.902, ""contribution"": 0.0}, ""Property_030"": {""ratio"": 0.8801, ""contribution"": 0.0}, ""Property_055"": {""ratio"": 0.9316, ""contribution"": 0.0}, ""Property_068"": {""ratio"": 0.9751, ""contribution"": 0.0}, ""Property_078"": {""ratio"": 0.9923, ""contribution"": 0.0}, ""Property_110"": {""ratio"": 0.6802, ""contribution"": 0.0}}"
2020-02-24,15.11,0.9503,18.52,NORMAL,322867,Property_024,"{""Property_024"": {""ratio"": 1.7212, ""contribution"": 0.5755}, ""Property_070"": {""ratio"": 1.2372, ""contribution"": 0.2033}, ""Property_113"": {""ratio"": 1.1562, ""contribution"": 0.078}, ""Property_049"": {""ratio"": 1.0993, ""contribution"": 0.0643}, ""Property_078"": {""ratio"": 1.0221, ""contribution"": 0.0221}, ""Property_001"": {""ratio"": 1.0246, ""contribution"": 0.007}, ""Property_013"": {""ratio"": 0.8156, ""contribution"": 0.0}, ""Property_023"": {""ratio"": 0.8833, ""contribution"": 0.0}, ""Property_030"": {""ratio"": 0.8268, ""contribution"": 0.0}, ""Property_055"": {""ratio"": 0.9091, ""contribution"": 0.0}, ""Property_068"": {""ratio"": 0.9568, ""contribution"": 0.0}, ""Property_110"": {""ratio"": 0.7743, ""contribution"": 0.0}}"
2024-08-05,9.21,0.5792,18.52,NORMAL,357407,Property_001,"{""Property_001"": {""ratio"": 1.7442, ""contribution"": 0.2107}, ""Property_055"": {""ratio"": 1.1077, ""contribution"": 0.096}, ""Property_049"": {""ratio"": 1.0944, ""contribution"": 0.0612}, ""Property_030"": {""ratio"": 1.4133, ""contribution"": 0.0587}, ""Property_023"": {""ratio"": 1.1449, ""contribution"": 0.0417}, ""Property_113"": {""ratio"": 1.0693, ""contribution"": 0.0346}, ""Property_024"": {""ratio"": 1.0324, ""contribution"": 0.0258}, ""Property_070"": {""ratio"": 1.0207, ""contribution"": 0.0178}, ""Property_078"": {""ratio"": 1.0173, ""contribution"": 0.0173}, ""Property_013"": {""ratio"": 1.0249, ""contribution"": 0.0154}, ""Property_068"": {""ratio"": 0.9955, ""contribution"": 0.0}, ""Property_110"": {""ratio"": 0.9944, ""contribution"": 0.0}}"
2026-02-02,53.25,3.349,18.52,WARNING,357101,Property_078,"{""Property_078"": {""ratio"": 1.7114, ""contribution"": 0.7114}, ""Property_055"": {""ratio"": 1.6348, ""contribution"": 0.5662}, ""Property_024"": {""ratio"": 1.5861, ""contribution"": 0.4677}, ""Property_070"": {""ratio"": 1.3992, ""contribution"": 0.3422}, ""Property_049"": {""ratio"": 1.4707, ""contribution"": 0.3051}, ""Property_001"": {""ratio"": 1.9148, ""contribution"": 0.259}, ""Property_013"": {""ratio"": 1.4094, ""contribution"": 0.2524}, ""Property_023"": {""ratio"": 1.6128, ""contribution"": 0.1762}, ""Property_068"": {""ratio"": 1.5884, ""contribution"": 0.1073}, ""Property_113"": {""ratio"": 1.1644, ""contribution"": 0.0821}, ""Property_030"": {""ratio"": 1.5595, ""contribution"": 0.0795}, ""Property_110"": {""ratio"": 0.5105, ""contribution"": 0.0}}"
2026-02-05,58.96,3.708,18.52,WARNING,379174,Property_078,"{""Property_078"": {""ratio"": 1.7878, ""contribution"": 0.7878}, ""Property_055"": {""ratio"": 1.6956, ""contribution"": 0.6205}, ""Property_024"": {""ratio"": 1.5835, ""contribution"": 0.4656}, ""Property_070"": {""ratio"": 1.4671, ""contribution"": 0.4004}, ""Property_049"": {""ratio"": 1.5408, ""contribution"": 0.3505}, ""Property_001"": {""ratio"": 2.0167, ""contribution"": 0.2879}, ""Property_013"": {""ratio"": 1.4365, ""contribution"": 0.2691}, ""Property_023"": {""ratio"": 1.654, ""contribution"": 0.188}, ""Property_113"": {""ratio"": 1.252, ""contribution"": 0.1259}, ""Property_068"": {""ratio"": 1.6476, ""contribution"": 0.1181}, ""Property_030"": {""ratio"": 1.6636, ""contribution"": 0.0943}, ""Property_110"": {""ratio"": 0.5715, ""contribution"": 0.0}}"
2026-02-08,61.84,3.8892,18.52,WARNING,372264,Property_078,"{""Property_078"": {""ratio"": 1.8214, ""contribution"": 0.8214}, ""Property_055"": {""ratio"": 1.7528, ""contribution"": 0.6715}, ""Property_024"": {""ratio"": 1.5986, ""contribution"": 0.4777}, ""Property_070"": {""ratio"": 1.5001, ""contribution"": 0.4287}, ""Property_049"": {""ratio"": 1.5697, ""contribution"": 0.3693}, ""Property_013"": {""ratio"": 1.5245, ""contribution"": 0.3234}, ""Property_001"": {""ratio"": 1.9338, ""contribution"": 0.2644}, ""Property_023"": {""ratio"": 1.6904, ""contribution"": 0.1985}, ""Property_113"": {""ratio"": 1.2641, ""contribution"": 0.1319}, ""Property_068"": {""ratio"": 1.6774, ""contribution"": 0.1235}, ""Property_030"": {""ratio"": 1.556, ""contribution"": 0.079}, ""Property_110"": {""ratio"": 0.8778, ""contribution"": 0.0}}"
2026-02-11,63.74,4.0083,18.52,WARNING,387086,Property_078,"{""Property_078"": {""ratio"": 1.8424, ""contribution"": 0.8424}, ""Property_055"": {""ratio"": 1.786, ""contribution"": 0.7011}, ""Property_024"": {""ratio"": 1.5687, ""contribution"": 0.4537}, ""Property_070"": {""ratio"": 1.5176, ""contribution"": 0.4437}, ""Property_049"": {""ratio"": 1.5975, ""contribution"": 0.3873}, ""Property_013"": {""ratio"": 1.5728, ""contribution"": 0.3531}, ""Property_001"": {""ratio"": 1.9922, ""contribution"": 0.2809}, ""Property_023"": {""ratio"": 1.6996, ""contribution"": 0.2011}, ""Property_113"": {""ratio"": 1.2625, ""contribution"": 0.1311}, ""Property_068"": {""ratio"": 1.6869, ""contribution"": 0.1252}, ""Property_030"": {""ratio"": 1.6227, ""contribution"": 0.0885}, ""Property_110"": {""ratio"": 0.8645, ""contribution"": 0.0}}"
