event_id,be_date,lead_days,ref_date,risk_score,raw_score,detected
97,2020-01-28,0,2020-01-28,0.0,0.0,0
97,2020-01-28,1,2020-01-27,0.0,0.0,0
97,2020-01-28,3,2020-01-25,0.57,0.036,0
97,2020-01-28,7,2020-01-21,1.55,0.0977,0
97,2020-01-28,14,2020-01-14,0.62,0.039,0
97,2020-01-28,21,2020-01-07,1.17,0.0738,0
97,2020-01-28,30,2019-12-29,1.62,0.1017,0
98,2020-02-24,0,2020-02-24,15.11,0.9503,0
98,2020-02-24,1,2020-02-23,15.04,0.9458,0
98,2020-02-24,3,2020-02-21,15.09,0.9487,0
98,2020-02-24,7,2020-02-17,12.0,0.7549,0
98,2020-02-24,14,2020-02-10,6.11,0.3845,0
98,2020-02-24,21,2020-02-03,0.72,0.0456,0
98,2020-02-24,30,2020-01-25,0.57,0.036,0
99,2020-03-06,0,2020-03-06,27.15,1.7074,1
99,2020-03-06,1,2020-03-05,25.92,1.6299,1
99,2020-03-06,3,2020-03-03,22.13,1.392,1
99,2020-03-06,7,2020-02-28,18.43,1.1589,0
99,2020-03-06,14,2020-02-21,15.09,0.9487,0
99,2020-03-06,21,2020-02-14,8.47,0.5328,0
99,2020-03-06,30,2020-02-05,2.71,0.1707,0
100,2020-04-01,0,2020-04-01,67.38,4.2376,1
100,2020-04-01,1,2020-03-31,68.66,4.3182,1
100,2020-04-01,3,2020-03-29,67.77,4.2618,1
100,2020-04-01,7,2020-03-25,67.06,4.2171,1
100,2020-04-01,14,2020-03-18,49.94,3.1404,1
100,2020-04-01,21,2020-03-11,33.82,2.127,1
100,2020-04-01,30,2020-03-02,21.18,1.3323,1
101,2020-05-04,0,2020-05-04,32.45,2.0406,1
101,2020-05-04,1,2020-05-03,33.65,2.1163,1
101,2020-05-04,3,2020-05-01,36.75,2.3111,1
101,2020-05-04,7,2020-04-27,45.79,2.8798,1
101,2020-05-04,14,2020-04-20,44.0,2.7671,1
101,2020-05-04,21,2020-04-13,53.01,3.3336,1
101,2020-05-04,30,2020-04-04,62.57,3.935,1
102,2020-06-12,0,2020-06-12,21.85,1.3742,1
102,2020-06-12,1,2020-06-11,20.94,1.317,1
102,2020-06-12,3,2020-06-09,19.51,1.2268,1
102,2020-06-12,7,2020-06-05,20.78,1.3067,1
102,2020-06-12,14,2020-05-29,20.29,1.2761,1
102,2020-06-12,21,2020-05-22,15.28,0.9611,0
102,2020-06-12,30,2020-05-13,21.52,1.3532,1
103,2020-06-25,0,2020-06-25,25.07,1.5768,1
103,2020-06-25,1,2020-06-24,25.22,1.586,1
103,2020-06-25,3,2020-06-22,25.21,1.5857,1
103,2020-06-25,7,2020-06-18,26.41,1.6607,1
103,2020-06-25,14,2020-06-11,20.94,1.317,1
103,2020-06-25,21,2020-06-04,21.57,1.3562,1
103,2020-06-25,30,2020-05-26,17.35,1.091,0
104,2020-08-18,0,2020-08-18,11.86,0.7457,0
104,2020-08-18,1,2020-08-17,14.03,0.8823,0
104,2020-08-18,3,2020-08-15,15.38,0.9674,0
104,2020-08-18,7,2020-08-11,15.33,0.964,0
104,2020-08-18,14,2020-08-04,17.13,1.0771,0
104,2020-08-18,21,2020-07-28,16.86,1.0604,0
104,2020-08-18,30,2020-07-19,18.81,1.1829,1
105,2020-09-22,0,2020-09-22,18.0,1.1323,0
105,2020-09-22,1,2020-09-21,20.23,1.2723,1
