lag,correlation,p_value,n_obs,p_adjusted,significant,risk_metric,social_indicator
0,0.3524,4.84522612939039e-08,227,6.298793968207507e-07,True,risk_mean,suicide
1,0.297,5.532345691387566e-06,226,7.192049398803836e-05,True,risk_mean,suicide
2,0.3277,4.963382726438445e-07,225,6.452397544369979e-06,True,risk_mean,suicide
3,0.3634,2.1249768155488333e-08,224,2.7624698602134833e-07,True,risk_mean,suicide
4,0.4025,4.287050725094777e-10,223,5.57316594262321e-09,True,risk_mean,suicide
5,0.3963,9.093687977540195e-10,222,1.1821794370802254e-08,True,risk_mean,suicide
6,0.4183,8.984396277307338e-11,221,1.1679715160499539e-09,True,risk_mean,suicide
7,0.4196,8.58608287160245e-11,220,1.1161907733083185e-09,True,risk_mean,suicide
8,0.4023,6.295784741739805e-10,219,8.184520164261747e-09,True,risk_mean,suicide
9,0.3463,1.5419025735607186e-07,218,2.004473345628934e-06,True,risk_mean,suicide
10,0.2762,3.695336766444555e-05,217,0.00048039377963779217,True,risk_mean,suicide
11,0.2421,0.0003290632309783581,216,0.004277822002718656,True,risk_mean,suicide
12,0.1965,0.003818478234716241,215,0.04964021705131113,True,risk_mean,suicide
0,0.3472,7.851219591568108e-08,227,1.020658546903854e-06,True,risk_max,suicide
1,0.3011,4.047045344339494e-06,226,5.261158947641342e-05,True,risk_max,suicide
2,0.3296,4.241250279432017e-07,225,5.513625363261622e-06,True,risk_max,suicide
3,0.3546,4.860818830258783e-08,224,6.319064479336418e-07,True,risk_max,suicide
4,0.3765,6.4207279228932005e-09,223,8.346946299761161e-08,True,risk_max,suicide
5,0.3901,1.7487954370924981e-09,222,2.2734340682202476e-08,True,risk_max,suicide
6,0.4169,1.0578120499534735e-10,221,1.3751556649395156e-09,True,risk_max,suicide
7,0.4209,7.391661915038223e-11,220,9.60916048954969e-10,True,risk_max,suicide
8,0.4054,4.504013491480491e-10,219,5.855217538924638e-09,True,risk_max,suicide
9,0.3454,1.667837048643468e-07,218,2.1681881632365083e-06,True,risk_max,suicide
10,0.2611,9.981988230074887e-05,217,0.0012976584699097354,True,risk_max,suicide
11,0.2239,0.0009215787181831525,216,0.011980523336380984,True,risk_max,suicide
12,0.1911,0.00492440930978629,215,0.06401732102722177,False,risk_max,suicide
0,0.3,4.181116666218753e-06,227,5.435451666084379e-05,True,warning_days,suicide
1,0.3023,3.6793589957465464e-06,226,4.78316669447051e-05,True,warning_days,suicide
2,0.3647,1.7548995414437672e-08,225,2.2813694038768973e-07,True,warning_days,suicide
3,0.3712,9.963919125870136e-09,224,1.2953094863631176e-07,True,warning_days,suicide
4,0.39,1.6179280530326145e-09,223,2.103306468942399e-08,True,warning_days,suicide
5,0.3312,4.407659483595691e-07,222,5.729957328674398e-06,True,warning_days,suicide
6,0.3248,8.002796140652198e-07,221,1.0403634982847858e-05,True,warning_days,suicide
7,0.3165,1.6598127941850073e-06,220,2.1577566324405093e-05,True,warning_days,suicide
8,0.3755,9.663348110094021e-09,219,1.2562352543122226e-07,True,warning_days,suicide
9,0.3826,5.2321210287555996e-09,218,6.801757337382279e-08,True,warning_days,suicide
10,0.3405,2.736603619143431e-07,217,3.5575847048864607e-06,True,warning_days,suicide
11,0.318,1.8279763958609437e-06,216,2.3763693146192268e-05,True,warning_days,suicide
12,0.2565,0.00014322553396088004,215,0.0018619319414914406,True,warning_days,suicide
0,0.1024,0.12386919419700763,227,1.0,False,risk_mean,mental_disorder
1,0.1373,0.03919440627576661,226,0.509527281584966,False,risk_mean,mental_disorder
2,0.147,0.02746512910490649,225,0.3570466783637844,False,risk_mean,mental_disorder
3,0.1071,0.1099288822251064,224,1.0,False,risk_mean,mental_disorder
4,0.1408,0.035628234862335594,223,0.4631670532103627,False,risk_mean,mental_disorder
5,0.1165,0.08316832985988341,222,1.0,False,risk_mean,mental_disorder
6,0.0912,0.17687917232670064,221,1.0,False,risk_mean,mental_disorder
7,0.0119,0.8608428509936883,220,1.0,False,risk_mean,mental_disorder
8,-0.0181,0.7894712535766946,219,1.0,False,risk_mean,mental_disorder
9,0.0097,0.8869487157607906,218,1.0,False,risk_mean,mental_disorder
10,0.0377,0.5811402597385017,217,1.0,False,risk_mean,mental_disorder
11,0.0666,0.3298920841447375,216,1.0,False,risk_mean,mental_disorder
