year_month,value
2006-01,391955.4
2006-02,394899.3
2006-03,398058.2
2006-04,402414.5
2006-05,407842.0
2006-06,412583.5
2006-07,416151.0
2006-08,419683.2
2006-09,424584.6
2006-10,429295.0
2006-11,436398.1
2006-12,443348.2
2007-01,442116.3
2007-02,445113.7
2007-03,446559.6
2007-04,448897.8
2007-05,450369.0
2007-06,453063.8
2007-07,455971.5
2007-08,460929.6
2007-09,462807.0
2007-10,467870.9
2007-11,472698.3
2007-12,474094.4
2008-01,473606.9
2008-02,476919.4
2008-03,480414.6
2008-04,485302.9
2008-05,489620.6
2008-06,494953.7
2008-07,498816.4
2008-08,502479.5
2008-09,506379.7
2008-10,509177.8
2008-11,511993.9
2008-12,515264.0
2009-01,511998.3
2009-02,514789.4
2009-03,516625.8
2009-04,518871.1
2009-05,522217.3
2009-06,527686.8
2009-07,532047.6
2009-08,536675.5
2009-09,537787.6
2009-10,541111.7
2009-11,545793.5
2009-12,549760.0
2010-01,548723.3
2010-02,549462.9
2010-03,553139.7
2010-04,556580.2
2010-05,562771.4
2010-06,566741.3
2010-07,569875.5
2010-08,573315.8
2010-09,576424.7
2010-10,581735.1
2010-11,588076.5
2010-12,593540.4
2011-01,593505.9
2011-02,596531.9
2011-03,599373.8
2011-04,603754.6
2011-05,609153.2
2011-06,614639.1
2011-07,618984.7
2011-08,624049.2
2011-09,625419.4
2011-10,631117.1
2011-11,634860.0
2011-12,639605.6
2012-01,636200.9
2012-02,637211.6
2012-03,637123.8
2012-04,639583.9
2012-05,642741.1
2012-06,645854.9
2012-07,647552.4
2012-08,649818.9
2012-09,648512.3
2012-10,651132.8
2012-11,653102.3
2012-12,659858.3
2013-01,656243.3
2013-02,654445.9
2013-03,655063.9
2013-04,656479.2
2013-05,659877.1
2013-06,666423.4
2013-07,667545.9
2013-08,670827.5
2013-09,672072.2
2013-10,676077.7
2013-11,681121.3
2013-12,687186.4
2014-01,685180.7
2014-02,688137.3
2014-03,690570.9
2014-04,695539.1
2014-05,699317.6
2014-06,705225.9
2014-07,710954.9
2014-08,717236.0
2014-09,722884.9
2014-10,730645.4
2014-11,738162.3
2014-12,745823.2
2015-01,746493.7
2015-02,750272.9
2015-03,755124.9
2015-04,765240.8
2015-05,768150.8
2015-06,759947.8
2015-07,763268.2
2015-08,773068.4
2015-09,780590.2
2015-10,792401.9
2015-11,801296.2
2015-12,812360.0
2016-01,815207.3
2016-02,818680.7
2016-03,825506.0
2016-04,833242.2
2016-05,843348.3
2016-06,853309.9
2016-07,861646.9
2016-08,873305.7
2016-09,881665.9
2016-10,891837.3
2016-11,903488.8
2016-12,908675.7
2017-01,908985.0
2017-02,912946.4
2017-03,917092.7
2017-04,922033.7
2017-05,929148.3
2017-06,935349.8
2017-07,941743.1
2017-08,949144.2
2017-09,954593.1
2017-10,962261.4
2017-11,970075.9
2017-12,974569.5
2018-01,977531.6
2018-02,979557.1
2018-03,983419.0
2018-04,988831.2
2018-05,993709.2
2018-06,998756.3
2018-07,1002688.6
2018-08,1008529.4
2018-09,1012933.0
2018-10,1020875.0
2018-11,1028154.8
2018-12,1033565.4
2019-01,1032937.2
2019-02,1034256.7
2019-03,1035640.4
2019-04,1039879.2
2019-05,1044681.9
2019-06,1049349.9
2019-07,1055135.2
2019-08,1061985.3
2019-09,1066028.2
2019-10,1074036.7
2019-11,1079899.6
2019-12,1083506.5
2020-01,1083000.6
2020-02,1085914.4
2020-03,1093996.5
2020-04,1098979.3
2020-05,1102488.7
2020-06,1108498.0
2020-07,1115389.8
2020-08,1127381.2
2020-09,1137429.5
2020-10,1148905.9
2020-11,1165134.0
2020-12,1172737.3
2021-01,1180818.4
2021-02,1189039.8
2021-03,1196829.2
2021-04,1215584.8
2021-05,1211393.3
2021-06,1218040.2
2021-07,1230863.7
2021-08,1238684.5
2021-09,1247144.7
2021-10,1253287.8
2021-11,1259077.6
2021-12,1259892.6
2022-01,1258229.5
2022-02,1256849.7
2022-03,1252757.2
2022-04,1252865.3
2022-05,1252781.8
2022-06,1253388.1
2022-07,1251270.6
2022-08,1251157.0
2022-09,1250132.7
2022-10,1249767.3
2022-11,1247773.6
2022-12,1245852.7
2023-01,1238515.9
2023-02,1232945.2
2023-03,1223744.6
2023-04,1219183.3
2023-05,1219224.4
2023-06,1220612.2
2023-07,1222814.0
2023-08,1224789.3
2023-09,1225664.6
2023-10,1229314.5
2023-11,1231597.1
2023-12,1231037.7
2024-01,1232244.0
2024-02,1230997.8
2024-03,1226098.0
2024-04,1230031.0
2024-05,1234936.3
2024-06,1239381.3
2024-07,1244664.1
2024-08,1254330.5
2024-09,1260275.1
2024-10,1264622.0
2024-11,1269810.4
2024-12,1273139.2
2025-01,1273775.9
2025-02,1279352.1
2025-03,1282455.9
2025-04,1289279.4
2025-05,1296049.4
2025-06,1304610.7
2025-07,1308782.4
2025-08,1314357.0
2025-09,1316613.6
2025-10,1321670.2
2025-11,1325872.6
2025-12,1326681.3
