year_month,value
2006-01,5.69
2006-02,5.71
2006-03,5.68
2006-04,5.62
2006-05,5.64
2006-06,5.72
2006-07,5.95
2006-08,6.03
2006-09,5.9
2006-10,5.84
2006-11,5.82
2006-12,5.97
2007-01,6.2
2007-02,6.25
2007-03,6.32
2007-04,6.3
2007-05,6.39
2007-06,6.33
2007-07,6.38
2007-08,6.51
2007-09,6.66
2007-10,6.71
2007-11,6.75
2007-12,6.99
2008-01,7.21
2008-02,6.95
2008-03,6.89
2008-04,6.99
2008-05,6.95
2008-06,6.93
2008-07,7.12
2008-08,7.35
2008-09,7.45
2008-10,7.77
2008-11,7.62
2008-12,7.01
2009-01,5.84
2009-02,5.73
2009-03,5.62
2009-04,5.5
2009-05,5.48
2009-06,5.47
2009-07,5.58
2009-08,5.63
2009-09,5.96
2009-10,6.05
2009-11,6.0
2009-12,5.95
2010-01,6.02
2010-02,5.92
2010-03,5.8
2010-04,5.46
2010-05,5.16
2010-06,5.15
2010-07,5.13
2010-08,5.26
2010-09,5.22
2010-10,5.21
2010-11,5.15
2010-12,5.08
2011-01,5.3
2011-02,5.26
2011-03,5.41
2011-04,5.42
2011-05,5.49
2011-06,5.47
2011-07,5.46
2011-08,5.58
2011-09,5.66
2011-10,5.56
2011-11,5.6
2011-12,5.37
2012-01,5.8
2012-02,5.67
2012-03,5.62
2012-04,5.54
2012-05,5.51
2012-06,5.38
2012-07,5.2
2012-08,4.9
2012-09,4.86
2012-10,4.84
2012-11,4.74
2012-12,4.54
2013-01,4.84
2013-02,4.61
2013-03,4.55
2013-04,4.42
2013-05,4.3
2013-06,4.11
2013-07,4.31
2013-08,4.33
2013-09,4.26
2013-10,4.21
2013-11,4.19
2013-12,4.1
2014-01,4.15
2014-02,4.05
2014-03,4.09
2014-04,4.04
2014-05,4.02
2014-06,3.94
2014-07,3.93
2014-08,3.76
2014-09,3.76
2014-10,3.64
2014-11,3.55
2014-12,3.55
2015-01,3.59
2015-02,3.48
2015-03,3.21
2015-04,2.96
2015-05,3.27
2015-06,3.22
2015-07,3.17
2015-08,3.13
2015-09,3.11
2015-10,3.06
2015-11,3.16
2015-12,3.23
2016-01,3.28
2016-02,3.21
2016-03,3.24
2016-04,3.17
2016-05,3.16
2016-06,3.06
2016-07,2.96
2016-08,2.95
2016-09,3.03
2016-10,3.08
2016-11,3.2
2016-12,3.29
2017-01,3.39
2017-02,3.38
2017-03,3.43
2017-04,3.41
2017-05,3.47
2017-06,3.41
2017-07,3.46
2017-08,3.39
2017-09,3.41
2017-10,3.51
2017-11,3.59
2017-12,3.61
2018-01,3.71
2018-02,3.65
2018-03,3.69
2018-04,3.69
2018-05,3.75
2018-06,3.72
2018-07,3.73
2018-08,3.66
2018-09,3.62
2018-10,3.64
2018-11,3.63
2018-12,3.61
2019-01,3.58
2019-02,3.5
2019-03,3.53
2019-04,3.48
2019-05,3.49
2019-06,3.25
2019-07,3.12
2019-08,2.92
2019-09,3.02
2019-10,3.01
2019-11,2.96
2019-12,2.98
2020-01,2.95
2020-02,2.9
2020-03,2.88
2020-04,2.89
2020-05,2.81
2020-06,2.67
2020-07,2.62
2020-08,2.55
2020-09,2.59
2020-10,2.64
2020-11,2.72
2020-12,2.79
2021-01,2.83
2021-02,2.81
2021-03,2.88
2021-04,2.91
2021-05,2.89
2021-06,2.92
2021-07,2.98
2021-08,3.1
2021-09,3.18
2021-10,3.46
2021-11,3.61
2021-12,3.66
2022-01,3.91
2022-02,3.93
2022-03,3.98
2022-04,4.05
2022-05,4.14
2022-06,4.23
2022-07,4.53
2022-08,4.76
2022-09,5.15
2022-10,5.34
2022-11,5.57
2022-12,5.64
2023-01,5.47
2023-02,5.22
2023-03,4.96
2023-04,4.82
2023-05,4.83
2023-06,4.81
2023-07,4.8
2023-08,4.83
2023-09,4.9
2023-10,5.04
2023-11,5.04
2023-12,4.82
2024-01,4.68
2024-02,4.49
2024-03,4.5
2024-04,4.48
2024-05,4.49
2024-06,4.26
2024-07,4.06
2024-08,4.08
2024-09,4.23
2024-10,4.55
2024-11,4.79
2024-12,4.72
2025-01,4.65
2025-02,4.52
2025-03,4.51
2025-04,4.36
2025-05,4.26
2025-06,4.21
2025-07,4.2
2025-08,4.17
2025-09,4.17
2025-10,4.24
2025-11,4.32
2025-12,4.35
2026-01,4.5
