year_month,value
2006-01,413.0
2006-02,362.0
2006-03,395.0
2006-04,367.0
2006-05,344.0
2006-06,329.0
2006-07,341.0
2006-08,347.0
2006-09,353.0
2006-10,382.0
2006-11,366.0
2006-12,411.0
2007-01,456.0
2007-02,364.0
2007-03,378.0
2007-04,329.0
2007-05,318.0
2007-06,284.0
2007-07,296.0
2007-08,311.0
2007-09,323.0
2007-10,364.0
2007-11,403.0
2007-12,418.0
2008-01,496.0
2008-02,526.0
2008-03,540.0
2008-04,486.0
2008-05,404.0
2008-06,392.0
2008-07,448.0
2008-08,397.0
2008-09,358.0
2008-10,461.0
2008-11,488.0
2008-12,453.0
2009-01,518.0
2009-02,358.0
2009-03,425.0
2009-04,435.0
2009-05,389.0
2009-06,346.0
2009-07,379.0
2009-08,407.0
2009-09,366.0
2009-10,457.0
2009-11,441.0
2009-12,432.0
2010-01,473.0
2010-02,424.0
2010-03,414.0
2010-04,399.0
2010-05,392.0
2010-06,403.0
2010-07,369.0
2010-08,360.0
2010-09,350.0
2010-10,417.0
2010-11,468.0
2010-12,478.0
2011-01,503.0
2011-02,468.0
2011-03,424.0
2011-04,412.0
2011-05,395.0
2011-06,378.0
2011-07,342.0
2011-08,415.0
2011-09,359.0
2011-10,453.0
2011-11,460.0
2011-12,532.0
2012-01,587.0
2012-02,665.0
2012-03,548.0
2012-04,441.0
2012-05,411.0
2012-06,387.0
2012-07,333.0
2012-08,411.0
2012-09,382.0
2012-10,458.0
2012-11,499.0
2012-12,452.0
2013-01,538.0
2013-02,457.0
2013-03,513.0
2013-04,440.0
2013-05,414.0
2013-06,363.0
2013-07,315.0
2013-08,389.0
2013-09,372.0
2013-10,465.0
2013-11,456.0
2013-12,468.0
2014-01,483.0
2014-02,428.0
2014-03,489.0
2014-04,407.0
2014-05,396.0
2014-06,380.0
2014-07,314.0
2014-08,362.0
2014-09,387.0
2014-10,435.0
2014-11,488.0
2014-12,527.0
2015-01,496.0
2015-02,457.0
2015-03,576.0
2015-04,467.0
2015-05,405.0
2015-06,399.0
2015-07,406.0
2015-08,381.0
2015-09,388.0
2015-10,452.0
2015-11,465.0
2015-12,457.0
2016-01,504.0
2016-02,498.0
2016-03,473.0
2016-04,417.0
2016-05,378.0
2016-06,367.0
2016-07,418.0
2016-08,402.0
2016-09,387.0
2016-10,432.0
2016-11,486.0
2016-12,537.0
2017-01,529.0
2017-02,461.0
2017-03,500.0
2017-04,442.0
2017-05,424.0
2017-06,423.0
2017-07,356.0
2017-08,399.0
2017-09,418.0
2017-10,459.0
2017-11,451.0
2017-12,512.0
2018-01,603.0
2018-02,430.0
2018-03,391.0
2018-04,357.0
2018-05,350.0
2018-06,336.0
2018-07,374.0
2018-08,329.0
2018-09,288.0
2018-10,371.0
2018-11,405.0
2018-12,387.0
2019-01,440.0
2019-02,382.0
2019-03,413.0
2019-04,382.0
2019-05,379.0
2019-06,321.0
2019-07,356.0
2019-08,404.0
2019-09,394.0
2019-10,377.0
2019-11,402.0
2019-12,422.0
2020-01,423.0
2020-02,400.0
2020-03,392.0
2020-04,343.0
2020-05,339.0
2020-06,338.0
2020-07,306.0
2020-08,387.0
2020-09,340.0
2020-10,371.0
2020-11,352.0
2020-12,357.0
2021-01,346.0
2021-02,255.0
2021-03,302.0
2021-04,280.0
2021-05,272.0
2021-06,245.0
2021-07,299.0
2021-08,276.0
2021-09,295.0
2021-10,277.0
2021-11,288.0
2021-12,366.0
2022-01,338.0
2022-02,292.0
2022-03,415.0
2022-04,382.0
2022-05,290.0
2022-06,245.0
2022-07,218.0
2022-08,272.0
2022-09,292.0
2022-10,303.0
2022-11,300.0
2022-12,350.0
2023-01,375.0
2023-02,322.0
2023-03,324.0
2023-04,301.0
2023-05,348.0
2023-06,280.0
2023-07,305.0
2023-08,420.0
2023-09,342.0
2023-10,374.0
2023-11,389.0
2023-12,401.0
2024-01,398.0
2024-02,370.0
2024-03,369.0
2024-04,298.0
2024-05,326.0
2024-06,273.0
2024-07,316.0
2024-08,341.0
2024-09,277.0
2024-10,294.0
2024-11,261.0
2024-12,349.0
