year_month,risk_mean,risk_max,warning_days,n_days,Property_055_contrib_mean,Property_083_contrib_mean,Property_042_contrib_mean,Property_110_contrib_mean,Property_087_contrib_mean,Property_002_contrib_mean,Property_070_contrib_mean,Property_113_contrib_mean,Property_055_ratio_mean,Property_083_ratio_mean,Property_042_ratio_mean,Property_110_ratio_mean,Property_087_ratio_mean,Property_002_ratio_mean,Property_070_ratio_mean,Property_113_ratio_mean,Property_055_ratio_max,Property_083_ratio_max,Property_042_ratio_max,Property_110_ratio_max,Property_087_ratio_max,Property_002_ratio_max,Property_070_ratio_max,Property_113_ratio_max,consec_warning_months,risk_mean_delta,risk_mean_accel
2006-02,0.0,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353428571428571,0.0,0.0,0.7707428571428572,0.0,0.0,0.7317785714285714,0.6695714285714286,0.6645,0,0,0.9838,0,0,0.7893,0.7158,0,,
2006-03,0.0,0.0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6178290322580645,0.0,0.0,0.7320387096774194,0.0,0.0,0.6903612903225806,0.6443258064516129,0.6451,0,0,0.895,0,0,0.7188,0.6665,0,0.0,
2006-04,0.0,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244633333333333,0.0,0.0,0.5968966666666666,0.0,0.0,0.8015966666666666,0.7011933333333334,0.643,0,0,0.6855,0,0,0.865,0.7557,0,0.0,0.0
2006-05,0.6832258064516129,2.55,0,31,0.0,0.0,0.0,0.036290322580645164,0.0,0.0,0.0,0.0,0.6499709677419355,0.0,0.0,0.9140290322580645,0.0,0.0,0.8178903225806452,0.7432645161290322,0.7257,0,0,1.3511,0,0,0.9094,0.8174,0,0.6832258064516129,0.6832258064516129
2006-06,0.755,1.51,0,30,0.0,0.0,0.0,0.038843333333333334,0.0,0.0,0.0,0.0,0.6584766666666667,0.0,0.0,1.1010433333333334,0.0,0.0,0.8155933333333334,0.7607499999999999,0.7032,0,0,1.2477,0,0,0.8755,0.8094,0,0.0717741935483871,-0.6114516129032258
2006-07,0.006774193548387097,0.07,0,31,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.6709258064516129,0.0,0.0,0.8704064516129033,0.0,0.0,0.8397548387096774,0.8220838709677419,0.6937,0,0,1.013,0,0,0.9055,0.862,0,-0.748225806451613,-0.8200000000000001
2006-08,0.0,0.0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096290322580644,0.0,0.0,0.7189032258064516,0.0,0.0,0.6812451612903226,0.7001645161290323,0.6485,0,0,0.7942,0,0,0.741,0.7572,0,-0.006774193548387097,0.7414516129032258
2006-09,0.0,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7162400000000001,0.0,0.0,0.7632966666666667,0.0,0.0,0.7053366666666666,0.70753,0.7612,0,0,0.8499,0,0,0.7217,0.7247,0,0.0,0.006774193548387097
2006-10,0.0006451612903225806,0.02,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6070193548387096,0.0,0.0,0.5472225806451613,0.0,0.0,0.6878387096774193,0.645816129032258,0.7482,0,0,0.7916,0,0,0.8296,0.75,0,0.0006451612903225806,0.0006451612903225806
2006-11,0.0,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7725666666666666,0.0,0.0,0.69115,0.0,0.0,0.7791266666666666,0.7345133333333334,0.813,0,0,0.8101,0,0,0.8164,0.7551,0,-0.0006451612903225806,-0.0012903225806451613
2006-12,0.04161290322580645,0.34,0,31,0.0,0.0,0.0,0.0026258064516129034,0.0,0.0,0.0,0.0,0.6785064516129032,0.0,0.0,0.7853322580645162,0.0,0.0,0.7456354838709677,0.6882612903225805,0.7486,0,0,1.0607,0,0,0.8092,0.7383,0,0.04161290322580645,0.04225806451612903
2007-01,0.014516129032258063,0.3,0,31,0.0,0.0,0.0,0.0009000000000000001,0.0,0.0,0.0,0.0,0.6897870967741935,0.0,0.0,0.8227548387096775,0.0,0.0,0.694683870967742,0.6261193548387097,0.7318,0,0,1.0528,0,0,0.7489,0.6787,0,-0.027096774193548386,-0.06870967741935484
