year_month,risk_mean,risk_max,risk_std,n_days,warning_days
2006-02,0.0,0.0,0.0,14,0
2006-03,0.0,0.0,0.0,31,0
2006-04,0.0,0.0,0.0,30,0
2006-05,0.6832258064516129,2.55,0.9349915760646339,31,0
2006-06,0.755,1.51,0.5016713445384682,30,0
2006-07,0.006774193548387097,0.07,0.020064412405084043,31,0
2006-08,0.0,0.0,0.0,31,0
2006-09,0.0,0.0,0.0,30,0
2006-10,0.0006451612903225806,0.02,0.003592106040535498,31,0
2006-11,0.0,0.0,0.0,30,0
2006-12,0.04161290322580645,0.34,0.08629780894065034,31,0
2007-01,0.014516129032258063,0.3,0.0563228023496357,31,0
2007-02,0.005357142857142857,0.15,0.028347335475692043,28,0
2007-03,0.6638709677419354,1.36,0.4866735895810444,31,0
2007-04,0.08033333333333334,0.77,0.21712039141410938,30,0
2007-05,0.0,0.0,0.0,31,0
2007-06,0.06866666666666667,0.59,0.166168450744985,30,0
2007-07,0.16838709677419353,0.63,0.23437998740213223,31,0
2007-08,1.0009677419354839,2.33,0.6959566789138036,31,0
2007-09,0.24966666666666668,1.27,0.457515655155803,30,0
2007-10,0.27225806451612905,1.26,0.4609461984325962,31,0
2007-11,1.0433333333333334,1.76,0.35529815874726317,30,0
2007-12,0.3325806451612903,1.05,0.3461306857429766,31,0
2008-01,2.99741935483871,8.8,3.439969929851069,31,0
2008-02,3.7893103448275864,10.89,3.666229019261464,29,0
2008-03,6.053548387096774,9.43,2.0769200729077926,31,0
2008-04,3.189,9.4,3.4247832551604755,30,0
2008-05,0.6887096774193548,4.76,1.3715969814671845,31,0
2008-06,14.584333333333332,23.78,5.198853111808499,30,5
2008-07,33.450322580645164,38.67,4.3422325163222695,31,31
2008-08,15.394838709677419,25.62,7.044084454806855,31,12
2008-09,31.171,43.74,8.973083255127436,30,27
2008-10,76.5441935483871,100.0,17.55237054724966,31,31
2008-11,84.91266666666667,100.0,10.254889139545488,30,30
2008-12,61.339677419354835,74.65,9.166960413670743,31,31
2009-01,45.45483870967742,53.16,7.157818508907001,31,31
2009-02,35.93714285714286,47.06,7.831129173177015,28,28
2009-03,46.817741935483866,54.27,6.117323330606519,31,31
2009-04,25.949,32.58,3.428618249885553,30,30
2009-05,16.008387096774193,28.12,4.492626623534903,31,8
2009-06,22.793333333333333,26.53,2.7191293400307543,30,28
2009-07,24.761935483870968,28.79,3.4098821283194325,31,31
2009-08,17.948709677419355,21.22,3.4131615275142226,31,19
2009-09,21.072333333333333,25.35,4.179120253349265,30,21
2009-10,17.72483870967742,24.38,3.467140869138664,31,10
2009-11,14.846333333333332,23.11,4.537112467222946,30,8
2009-12,18.750645161290322,25.34,5.416861905497111,31,21
2010-01,12.060967741935483,23.24,6.330030202581296,31,7
2010-02,16.86392857142857,28.51,9.287436092910365,28,15
2010-03,7.368064516129032,11.01,2.6609752840576317,31,0
2010-04,16.925666666666665,26.65,4.785324320312543,30,11
2010-05,32.81612903225806,49.88,7.860160590988524,31,31
2010-06,35.47966666666667,44.59,5.943596080473175,30,30
2010-07,30.906774193548387,36.23,3.349255028705915,31,31
2010-08,29.83451612903226,33.02,1.8726182004699161,31,31
2010-09,27.395666666666667,38.5,12.887186012987216,30,22
2010-10,30.74225806451613,47.45,15.492591500386549,31,20
2010-11,39.61466666666667,42.72,2.0321107309860134,30,30
2010-12,31.613548387096774,39.73,3.407436522653645,31,31
2011-01,34.45935483870968,41.89,4.259891184434854,31,31
2011-02,24.291071428571428,44.74,10.124536144577545,28,18
2011-03,47.07741935483871,52.69,3.210030080587962,31,31
