year_month,rolling_corr,window,lag,risk_metric,social_indicator
2007-08,-0.6513,12,7,risk_mean,suicide
2007-09,-0.6829,12,7,risk_mean,suicide
2007-10,-0.6639,12,7,risk_mean,suicide
2007-11,-0.7414,12,7,risk_mean,suicide
2007-12,-0.4509,12,7,risk_mean,suicide
2008-01,-0.1918,12,7,risk_mean,suicide
2008-02,-0.1995,12,7,risk_mean,suicide
2008-03,-0.0679,12,7,risk_mean,suicide
2008-04,0.0057,12,7,risk_mean,suicide
2008-05,0.1775,12,7,risk_mean,suicide
2008-06,0.416,12,7,risk_mean,suicide
2008-07,0.5117,12,7,risk_mean,suicide
2008-08,0.353,12,7,risk_mean,suicide
2008-09,0.5939,12,7,risk_mean,suicide
2008-10,0.8585,12,7,risk_mean,suicide
2008-11,0.8636,12,7,risk_mean,suicide
2008-12,0.8321,12,7,risk_mean,suicide
2009-01,0.2869,12,7,risk_mean,suicide
2009-02,0.0541,12,7,risk_mean,suicide
2009-03,0.109,12,7,risk_mean,suicide
2009-04,0.2329,12,7,risk_mean,suicide
2009-05,0.4755,12,7,risk_mean,suicide
2009-06,0.544,12,7,risk_mean,suicide
2009-07,0.5066,12,7,risk_mean,suicide
2009-08,0.4417,12,7,risk_mean,suicide
2009-09,0.3728,12,7,risk_mean,suicide
2009-10,0.693,12,7,risk_mean,suicide
2009-11,0.755,12,7,risk_mean,suicide
2009-12,0.7684,12,7,risk_mean,suicide
2010-01,0.7417,12,7,risk_mean,suicide
2010-02,0.7503,12,7,risk_mean,suicide
2010-03,0.8349,12,7,risk_mean,suicide
2010-04,0.7332,12,7,risk_mean,suicide
2010-05,0.4361,12,7,risk_mean,suicide
2010-06,0.0842,12,7,risk_mean,suicide
2010-07,-0.1954,12,7,risk_mean,suicide
2010-08,-0.3324,12,7,risk_mean,suicide
2010-09,-0.3344,12,7,risk_mean,suicide
2010-10,-0.4343,12,7,risk_mean,suicide
2010-11,-0.3907,12,7,risk_mean,suicide
2010-12,-0.5262,12,7,risk_mean,suicide
2011-01,-0.6363,12,7,risk_mean,suicide
2011-02,-0.6753,12,7,risk_mean,suicide
2011-03,-0.6746,12,7,risk_mean,suicide
2011-04,-0.6311,12,7,risk_mean,suicide
2011-05,-0.4137,12,7,risk_mean,suicide
2011-06,-0.1661,12,7,risk_mean,suicide
2011-07,-0.0625,12,7,risk_mean,suicide
2011-08,0.0804,12,7,risk_mean,suicide
2011-09,0.0583,12,7,risk_mean,suicide
2011-10,0.146,12,7,risk_mean,suicide
2011-11,-0.0283,12,7,risk_mean,suicide
2011-12,0.2081,12,7,risk_mean,suicide
2012-01,0.2892,12,7,risk_mean,suicide
2012-02,0.3449,12,7,risk_mean,suicide
2012-03,0.2035,12,7,risk_mean,suicide
2012-04,0.2408,12,7,risk_mean,suicide
2012-05,0.3447,12,7,risk_mean,suicide
2012-06,0.3594,12,7,risk_mean,suicide
2012-07,0.4146,12,7,risk_mean,suicide
2012-08,0.5542,12,7,risk_mean,suicide
2012-09,0.7012,12,7,risk_mean,suicide
2012-10,0.6037,12,7,risk_mean,suicide
2012-11,0.6609,12,7,risk_mean,suicide
2012-12,0.6416,12,7,risk_mean,suicide
2013-01,0.6846,12,7,risk_mean,suicide
2013-02,0.6718,12,7,risk_mean,suicide
2013-03,0.5016,12,7,risk_mean,suicide
2013-04,0.4174,12,7,risk_mean,suicide
2013-05,0.1967,12,7,risk_mean,suicide
2013-06,0.1603,12,7,risk_mean,suicide
2013-07,0.2272,12,7,risk_mean,suicide
2013-08,0.324,12,7,risk_mean,suicide
2013-09,0.3376,12,7,risk_mean,suicide
2013-10,0.3417,12,7,risk_mean,suicide
2013-11,0.1216,12,7,risk_mean,suicide
2013-12,0.3034,12,7,risk_mean,suicide
2014-01,0.226,12,7,risk_mean,suicide
2014-02,0.28,12,7,risk_mean,suicide
2014-03,-0.1329,12,7,risk_mean,suicide
2014-04,-0.2359,12,7,risk_mean,suicide
2014-05,-0.3361,12,7,risk_mean,suicide
2014-06,-0.5109,12,7,risk_mean,suicide
2014-07,-0.5133,12,7,risk_mean,suicide
2014-08,-0.5246,12,7,risk_mean,suicide
2014-09,-0.4644,12,7,risk_mean,suicide
2014-10,-0.3381,12,7,risk_mean,suicide
2014-11,-0.0546,12,7,risk_mean,suicide
2014-12,0.0955,12,7,risk_mean,suicide
2015-01,0.237,12,7,risk_mean,suicide
2015-02,0.4127,12,7,risk_mean,suicide
2015-03,0.438,12,7,risk_mean,suicide
2015-04,0.1522,12,7,risk_mean,suicide
2015-05,0.0858,12,7,risk_mean,suicide
2015-06,0.0065,12,7,risk_mean,suicide
2015-07,-0.0012,12,7,risk_mean,suicide
2015-08,0.0235,12,7,risk_mean,suicide
2015-09,-0.0378,12,7,risk_mean,suicide
2015-10,-0.0228,12,7,risk_mean,suicide
2015-11,-0.0844,12,7,risk_mean,suicide
2015-12,-0.1431,12,7,risk_mean,suicide
2016-01,-0.2884,12,7,risk_mean,suicide
2016-02,-0.4654,12,7,risk_mean,suicide
2016-03,-0.2569,12,7,risk_mean,suicide
2016-04,0.0988,12,7,risk_mean,suicide
2016-05,0.1,12,7,risk_mean,suicide
2016-06,0.0259,12,7,risk_mean,suicide
2016-07,0.0048,12,7,risk_mean,suicide
2016-08,0.0578,12,7,risk_mean,suicide
2016-09,0.1676,12,7,risk_mean,suicide
2016-10,0.1137,12,7,risk_mean,suicide
2016-11,0.1877,12,7,risk_mean,suicide
2016-12,0.1987,12,7,risk_mean,suicide
2017-01,0.2952,12,7,risk_mean,suicide
2017-02,0.4165,12,7,risk_mean,suicide
2017-03,0.3596,12,7,risk_mean,suicide
2017-04,0.2719,12,7,risk_mean,suicide
2017-05,0.3699,12,7,risk_mean,suicide
2017-06,0.4316,12,7,risk_mean,suicide
2017-07,0.4217,12,7,risk_mean,suicide
2017-08,0.389,12,7,risk_mean,suicide
2017-09,-0.0643,12,7,risk_mean,suicide
2017-10,-0.2189,12,7,risk_mean,suicide
2017-11,-0.1886,12,7,risk_mean,suicide
2017-12,-0.1161,12,7,risk_mean,suicide
2018-01,-0.17,12,7,risk_mean,suicide
2018-02,0.2428,12,7,risk_mean,suicide
2018-03,-0.0615,12,7,risk_mean,suicide
2018-04,-0.1419,12,7,risk_mean,suicide
2018-05,-0.1911,12,7,risk_mean,suicide
2018-06,-0.2121,12,7,risk_mean,suicide
2018-07,-0.0818,12,7,risk_mean,suicide
2018-08,-0.2983,12,7,risk_mean,suicide
2018-09,-0.2407,12,7,risk_mean,suicide
2018-10,-0.2358,12,7,risk_mean,suicide
2018-11,-0.2392,12,7,risk_mean,suicide
2018-12,-0.2562,12,7,risk_mean,suicide
2019-01,-0.2704,12,7,risk_mean,suicide
2019-02,-0.5667,12,7,risk_mean,suicide
2019-03,-0.3478,12,7,risk_mean,suicide
2019-04,-0.0627,12,7,risk_mean,suicide
2019-05,0.3366,12,7,risk_mean,suicide
2019-06,0.2201,12,7,risk_mean,suicide
2019-07,0.3449,12,7,risk_mean,suicide
2019-08,0.345,12,7,risk_mean,suicide
2019-09,0.3421,12,7,risk_mean,suicide
2019-10,0.2912,12,7,risk_mean,suicide
2019-11,0.2407,12,7,risk_mean,suicide
2019-12,0.0934,12,7,risk_mean,suicide
2020-01,0.0541,12,7,risk_mean,suicide
2020-02,-0.1233,12,7,risk_mean,suicide
2020-03,-0.0778,12,7,risk_mean,suicide
2020-04,-0.0613,12,7,risk_mean,suicide
2020-05,-0.0821,12,7,risk_mean,suicide
2020-06,-0.0006,12,7,risk_mean,suicide
2020-07,-0.1497,12,7,risk_mean,suicide
2020-08,-0.2176,12,7,risk_mean,suicide
2020-09,-0.3855,12,7,risk_mean,suicide
2020-10,-0.0014,12,7,risk_mean,suicide
2020-11,-0.2113,12,7,risk_mean,suicide
2020-12,-0.2119,12,7,risk_mean,suicide
2021-01,-0.2458,12,7,risk_mean,suicide
2021-02,-0.3293,12,7,risk_mean,suicide
2021-03,-0.2931,12,7,risk_mean,suicide
2021-04,-0.2737,12,7,risk_mean,suicide
2021-05,-0.2876,12,7,risk_mean,suicide
2021-06,-0.3127,12,7,risk_mean,suicide
2021-07,-0.251,12,7,risk_mean,suicide
2021-08,-0.1863,12,7,risk_mean,suicide
2021-09,-0.2407,12,7,risk_mean,suicide
2021-10,-0.3014,12,7,risk_mean,suicide
2021-11,-0.2871,12,7,risk_mean,suicide
2021-12,-0.0641,12,7,risk_mean,suicide
2022-01,0.2254,12,7,risk_mean,suicide
2022-02,0.4773,12,7,risk_mean,suicide
2022-03,0.3502,12,7,risk_mean,suicide
2022-04,-0.0635,12,7,risk_mean,suicide
2022-05,-0.0138,12,7,risk_mean,suicide
2022-06,-0.1762,12,7,risk_mean,suicide
2022-07,-0.1212,12,7,risk_mean,suicide
2022-08,-0.0738,12,7,risk_mean,suicide
2022-09,-0.0733,12,7,risk_mean,suicide
2022-10,0.0168,12,7,risk_mean,suicide
2022-11,-0.1316,12,7,risk_mean,suicide
2022-12,-0.1921,12,7,risk_mean,suicide
2023-01,-0.3681,12,7,risk_mean,suicide
2023-02,-0.5289,12,7,risk_mean,suicide
2023-03,-0.3576,12,7,risk_mean,suicide
2023-04,-0.2246,12,7,risk_mean,suicide
2023-05,0.337,12,7,risk_mean,suicide
2023-06,0.4581,12,7,risk_mean,suicide
2023-07,0.4987,12,7,risk_mean,suicide
2023-08,0.4839,12,7,risk_mean,suicide
2023-09,0.441,12,7,risk_mean,suicide
2023-10,0.432,12,7,risk_mean,suicide
2023-11,0.3995,12,7,risk_mean,suicide
2023-12,0.4205,12,7,risk_mean,suicide
2024-01,0.0818,12,7,risk_mean,suicide
2024-02,0.2299,12,7,risk_mean,suicide
2024-03,0.0882,12,7,risk_mean,suicide
2024-04,0.0174,12,7,risk_mean,suicide
2024-05,-0.1625,12,7,risk_mean,suicide
2024-06,-0.3436,12,7,risk_mean,suicide
2024-07,-0.4729,12,7,risk_mean,suicide
2024-08,-0.5921,12,7,risk_mean,suicide
2024-09,-0.5546,12,7,risk_mean,suicide
2024-10,-0.5227,12,7,risk_mean,suicide
2024-11,-0.2604,12,7,risk_mean,suicide
2024-12,-0.1461,12,7,risk_mean,suicide
2007-08,-0.685,12,7,risk_max,suicide
2007-09,-0.7235,12,7,risk_max,suicide
2007-10,-0.7525,12,7,risk_max,suicide
