year_month,value
2006-01,106.0
2006-02,84.0
2006-03,110.0
2006-04,76.0
2006-05,92.0
2006-06,73.0
2006-07,86.0
2006-08,80.0
2006-09,86.0
2006-10,101.0
2006-11,78.0
2006-12,86.0
2007-01,94.0
2007-02,80.0
2007-03,95.0
2007-04,85.0
2007-05,59.0
2007-06,59.0
2007-07,62.0
2007-08,47.0
2007-09,67.0
2007-10,72.0
2007-11,79.0
2007-12,82.0
2008-01,80.0
2008-02,83.0
2008-03,81.0
2008-04,96.0
2008-05,69.0
2008-06,60.0
2008-07,66.0
2008-08,71.0
2008-09,64.0
2008-10,53.0
2008-11,62.0
2008-12,67.0
2009-01,62.0
2009-02,57.0
2009-03,69.0
2009-04,67.0
2009-05,51.0
2009-06,48.0
2009-07,70.0
2009-08,60.0
2009-09,74.0
2009-10,76.0
2009-11,56.0
2009-12,60.0
2010-01,69.0
2010-02,71.0
2010-03,70.0
2010-04,77.0
2010-05,69.0
2010-06,54.0
2010-07,55.0
2010-08,54.0
2010-09,57.0
2010-10,72.0
2010-11,49.0
2010-12,70.0
2011-01,69.0
2011-02,71.0
2011-03,63.0
2011-04,59.0
2011-05,60.0
2011-06,57.0
2011-07,51.0
2011-08,51.0
2011-09,50.0
2011-10,60.0
2011-11,65.0
2011-12,65.0
2012-01,73.0
2012-02,64.0
2012-03,84.0
2012-04,62.0
2012-05,68.0
2012-06,46.0
2012-07,45.0
2012-08,54.0
2012-09,51.0
2012-10,58.0
2012-11,60.0
2012-12,54.0
2013-01,63.0
2013-02,59.0
2013-03,68.0
2013-04,49.0
2013-05,52.0
2013-06,59.0
2013-07,39.0
2013-08,56.0
2013-09,63.0
2013-10,68.0
2013-11,74.0
2013-12,79.0
2014-01,81.0
2014-02,55.0
2014-03,68.0
2014-04,61.0
2014-05,56.0
2014-06,62.0
2014-07,43.0
2014-08,55.0
2014-09,59.0
2014-10,70.0
2014-11,63.0
2014-12,78.0
2015-01,60.0
2015-02,70.0
2015-03,77.0
2015-04,67.0
2015-05,64.0
2015-06,65.0
2015-07,54.0
2015-08,56.0
2015-09,64.0
2015-10,71.0
2015-11,62.0
2015-12,77.0
2016-01,68.0
2016-02,80.0
2016-03,74.0
2016-04,78.0
2016-05,65.0
2016-06,64.0
2016-07,80.0
2016-08,69.0
2016-09,54.0
2016-10,62.0
2016-11,68.0
2016-12,85.0
2017-01,81.0
2017-02,96.0
2017-03,108.0
2017-04,74.0
2017-05,72.0
2017-06,88.0
2017-07,63.0
2017-08,76.0
2017-09,77.0
2017-10,86.0
2017-11,76.0
2017-12,90.0
2018-01,79.0
2018-02,72.0
2018-03,80.0
2018-04,78.0
2018-05,77.0
2018-06,69.0
2018-07,110.0
2018-08,76.0
2018-09,65.0
2018-10,75.0
2018-11,76.0
2018-12,85.0
2019-01,102.0
2019-02,88.0
2019-03,77.0
2019-04,80.0
2019-05,90.0
2019-06,61.0
2019-07,64.0
2019-08,81.0
2019-09,72.0
2019-10,62.0
2019-11,62.0
2019-12,77.0
2020-01,85.0
2020-02,89.0
2020-03,99.0
2020-04,91.0
2020-05,105.0
2020-06,80.0
2020-07,83.0
2020-08,104.0
2020-09,84.0
2020-10,96.0
2020-11,89.0
2020-12,87.0
2021-01,78.0
2021-02,65.0
2021-03,88.0
2021-04,88.0
2021-05,81.0
2021-06,61.0
2021-07,89.0
2021-08,76.0
2021-09,81.0
2021-10,86.0
2021-11,85.0
2021-12,86.0
2022-01,81.0
2022-02,97.0
2022-03,110.0
2022-04,101.0
2022-05,91.0
2022-06,72.0
2022-07,64.0
2022-08,85.0
2022-09,80.0
2022-10,77.0
2022-11,72.0
2022-12,81.0
2023-01,79.0
2023-02,85.0
2023-03,80.0
2023-04,78.0
2023-05,68.0
2023-06,49.0
2023-07,58.0
2023-08,84.0
2023-09,65.0
2023-10,67.0
2023-11,76.0
2023-12,72.0
2024-01,77.0
2024-02,74.0
2024-03,87.0
2024-04,58.0
2024-05,73.0
2024-06,52.0
2024-07,75.0
2024-08,106.0
2024-09,80.0
2024-10,76.0
2024-11,87.0
2024-12,81.0
