year_month,value
2006-01,860.0
2006-02,820.0
2006-03,1007.0
2006-04,993.0
2006-05,1062.0
2006-06,934.0
2006-07,944.0
2006-08,910.0
2006-09,898.0
2006-10,893.0
2006-11,778.0
2006-12,637.0
2007-01,809.0
2007-02,1193.0
2007-03,1152.0
2007-04,1169.0
2007-05,1226.0
2007-06,1075.0
2007-07,1033.0
2007-08,1003.0
2007-09,1004.0
2007-10,970.0
2007-11,850.0
2007-12,766.0
2008-01,809.0
2008-02,821.0
2008-03,991.0
2008-04,980.0
2008-05,1018.0
2008-06,1040.0
2008-07,956.0
2008-08,961.0
2008-09,1083.0
2008-10,1793.0
2008-11,1288.0
2008-12,1118.0
2009-01,1021.0
2009-02,1074.0
2009-03,1370.0
2009-04,1425.0
2009-05,1619.0
2009-06,1582.0
2009-07,1396.0
2009-08,1302.0
2009-09,1228.0
2009-10,1174.0
2009-11,1165.0
2009-12,1056.0
2010-01,955.0
2010-02,953.0
2010-03,1212.0
2010-04,1508.0
2010-05,1583.0
2010-06,1378.0
2010-07,1638.0
2010-08,1455.0
2010-09,1285.0
2010-10,1391.0
2010-11,1151.0
2010-12,1057.0
2011-01,944.0
2011-02,1064.0
2011-03,1281.0
2011-04,1452.0
2011-05,1650.0
2011-06,1616.0
2011-07,1456.0
2011-08,1512.0
2011-09,1365.0
2011-10,1324.0
2011-11,1199.0
2011-12,1043.0
2012-01,1018.0
2012-02,1133.0
2012-03,1337.0
2012-04,1348.0
2012-05,1344.0
2012-06,1283.0
2012-07,1186.0
2012-08,1133.0
2012-09,1195.0
2012-10,1208.0
2012-11,1058.0
2012-12,917.0
2013-01,1275.0
2013-02,1162.0
2013-03,1388.0
2013-04,1255.0
2013-05,1349.0
2013-06,1278.0
2013-07,1185.0
2013-08,1159.0
2013-09,1157.0
2013-10,1200.0
2013-11,1033.0
2013-12,986.0
2014-01,1076.0
2014-02,1065.0
2014-03,1491.0
2014-04,1359.0
2014-05,1273.0
2014-06,1184.0
2014-07,1156.0
2014-08,1142.0
2014-09,1108.0
2014-10,1023.0
2014-11,1002.0
2014-12,957.0
2015-01,1050.0
2015-02,1012.0
2015-03,1237.0
2015-04,1335.0
2015-05,1361.0
2015-06,1122.0
2015-07,1158.0
2015-08,1188.0
2015-09,1049.0
2015-10,1055.0
2015-11,975.0
2015-12,971.0
2016-01,905.0
2016-02,968.0
2016-03,1232.0
2016-04,1141.0
2016-05,1197.0
2016-06,1128.0
2016-07,1108.0
2016-08,1115.0
2016-09,1217.0
2016-10,1151.0
2016-11,967.0
2016-12,963.0
2017-01,923.0
2017-02,935.0
2017-03,1037.0
2017-04,1097.0
2017-05,1158.0
2017-06,1075.0
2017-07,1018.0
2017-08,1119.0
2017-09,1050.0
2017-10,1105.0
2017-11,981.0
2017-12,965.0
2018-01,1128.0
2018-02,958.0
2018-03,1409.0
2018-04,1269.0
2018-05,1194.0
2018-06,1180.0
2018-07,1183.0
2018-08,1087.0
2018-09,1087.0
2018-10,1145.0
2018-11,1044.0
2018-12,986.0
2019-01,1114.0
2019-02,971.0
2019-03,1182.0
2019-04,1131.0
2019-05,1274.0
2019-06,1108.0
2019-07,1248.0
2019-08,1152.0
2019-09,1093.0
2019-10,1248.0
2019-11,1098.0
2019-12,1180.0
2020-01,1092.0
2020-02,993.0
2020-03,1149.0
2020-04,1120.0
2020-05,1152.0
2020-06,1135.0
2020-07,1228.0
2020-08,1185.0
2020-09,1020.0
2020-10,1147.0
2020-11,1061.0
2020-12,913.0
2021-01,998.0
2021-02,1012.0
2021-03,1321.0
2021-04,1210.0
2021-05,1176.0
2021-06,1258.0
2021-07,1128.0
2021-08,1080.0
2021-09,1072.0
2021-10,1072.0
2021-11,983.0
2021-12,1042.0
2022-01,1004.0
2022-02,879.0
2022-03,1109.0
2022-04,1198.0
2022-05,1181.0
2022-06,1065.0
2022-07,1124.0
2022-08,1098.0
2022-09,1096.0
2022-10,1129.0
2022-11,987.0
2022-12,1036.0
2023-01,1007.0
2023-02,1072.0
2023-03,1281.0
2023-04,1185.0
2023-05,1317.0
2023-06,1280.0
2023-07,1229.0
2023-08,1220.0
2023-09,1169.0
2023-10,1150.0
2023-11,1015.0
2023-12,1053.0
2024-01,1372.0
2024-02,1244.0
2024-03,1353.0
2024-04,1354.0
2024-05,1296.0
2024-06,1225.0
2024-07,1229.0
2024-08,1134.0
2024-09,1160.0
2024-10,1217.0
2024-11,1130.0
2024-12,1158.0
