event_id,first_shock_date,last_shock_date,duration_days,shock_count,max_cumulative_drop
1,2006-01-17,2006-01-23,7,4,-8.75
2,2006-02-03,2006-02-03,1,1,-2.98
3,2006-03-03,2006-03-07,5,2,-3.73
4,2006-03-22,2006-03-22,1,1,-2.01
5,2006-04-28,2006-04-28,1,1,-2.26
6,2006-05-15,2006-05-25,11,5,-10.34
7,2006-06-07,2006-06-13,7,3,-7.51
8,2006-06-20,2006-06-20,1,1,-2.06
9,2006-07-14,2006-07-14,1,1,-2.33
10,2006-10-09,2006-10-09,1,1,-2.41
11,2007-02-28,2007-03-05,6,2,-5.39
12,2007-07-26,2007-08-01,7,3,-7.37
13,2007-08-10,2007-08-10,1,1,-4.2
14,2007-08-16,2007-08-17,2,2,-9.89
15,2007-09-10,2007-09-10,1,1,-2.6
16,2007-10-22,2007-10-22,1,1,-3.36
17,2007-11-02,2007-11-02,1,1,-2.12
18,2007-11-08,2007-11-12,5,2,-5.86
19,2007-11-21,2007-11-21,1,1,-3.49
20,2007-12-17,2007-12-17,1,1,-2.91
21,2008-01-02,2008-01-02,1,1,-2.3
22,2008-01-11,2008-01-22,12,4,-11.82
23,2008-01-28,2008-01-30,3,2,-6.11
24,2008-02-11,2008-02-11,1,1,-3.29
25,2008-03-03,2008-03-03,1,1,-2.33
26,2008-03-10,2008-03-13,4,2,-2.91
27,2008-06-12,2008-06-12,1,1,-2.37
28,2008-07-02,2008-07-02,1,1,-2.57
29,2008-07-08,2008-07-08,1,1,-2.93
30,2008-07-15,2008-07-15,1,1,-3.16
31,2008-09-01,2008-09-01,1,1,-4.06
32,2008-09-16,2008-09-18,3,2,-6.1
33,2008-10-06,2008-10-29,24,10,-33.87
34,2008-11-06,2008-11-24,19,6,-19.7
35,2008-12-02,2008-12-02,1,1,-3.35
36,2008-12-12,2008-12-12,1,1,-4.38
37,2008-12-23,2008-12-23,1,1,-2.99
38,2009-01-09,2009-01-23,15,6,-9.31
39,2009-02-17,2009-02-24,8,3,-9.49
40,2009-03-02,2009-03-02,1,1,-4.16
41,2009-03-30,2009-03-30,1,1,-3.24
42,2009-04-08,2009-04-08,1,1,-2.93
43,2009-04-28,2009-04-28,1,1,-2.95
44,2009-05-14,2009-05-14,1,1,-2.37
45,2009-05-26,2009-05-26,1,1,-2.06
46,2009-06-04,2009-06-04,1,1,-2.6
47,2009-06-23,2009-06-23,1,1,-2.8
48,2009-07-13,2009-07-13,1,1,-3.53
49,2009-08-17,2009-08-17,1,1,-2.79
50,2009-10-05,2009-10-05,1,1,-2.29
51,2009-10-28,2009-10-28,1,1,-2.41
52,2009-11-27,2009-11-27,1,1,-4.69
53,2010-01-22,2010-01-22,1,1,-2.19
54,2010-01-29,2010-01-29,1,1,-2.44
55,2010-02-05,2010-02-05,1,1,-3.05
56,2010-05-07,2010-05-07,1,1,-2.21
57,2010-05-17,2010-05-17,1,1,-2.6
58,2010-05-25,2010-05-25,1,1,-2.75
59,2010-08-12,2010-08-12,1,1,-2.07
60,2010-11-11,2010-11-11,1,1,-2.7
61,2011-03-15,2011-03-15,1,1,-2.4
62,2011-05-12,2011-05-12,1,1,-2.03
63,2011-05-23,2011-05-23,1,1,-2.64
64,2011-07-12,2011-07-12,1,1,-2.2
65,2011-08-02,2011-08-09,8,6,-17.08
66,2011-08-19,2011-08-19,1,1,-6.22
67,2011-09-05,2011-09-05,1,1,-4.39
68,2011-09-14,2011-09-14,1,1,-3.52
69,2011-09-22,2011-09-26,5,3,-10.87
70,2011-10-05,2011-10-05,1,1,-5.83
71,2011-10-20,2011-10-20,1,1,-2.74
72,2011-11-10,2011-11-10,1,1,-4.94
73,2011-11-23,2011-11-23,1,1,-2.36
74,2011-12-15,2011-12-19,5,2,-4.35
75,2012-05-16,2012-05-18,3,2,-6.13
76,2012-06-04,2012-06-04,1,1,-2.8
77,2012-06-22,2012-06-22,1,1,-2.21
78,2012-07-12,2012-07-12,1,1,-2.24
79,2013-06-20,2013-06-20,1,1,-2.0
80,2014-01-02,2014-01-02,1,1,-2.2
81,2015-07-06,2015-07-06,1,1,-2.4
82,2015-08-21,2015-08-24,4,2,-4.43
83,2016-01-04,2016-01-04,1,1,-2.17
84,2016-01-20,2016-01-20,1,1,-2.34
85,2016-02-11,2016-02-11,1,1,-2.93
86,2016-06-24,2016-06-24,1,1,-3.09
87,2016-09-12,2016-09-12,1,1,-2.28
88,2016-11-09,2016-11-09,1,1,-2.25
89,2018-02-07,2018-02-07,1,1,-2.31
90,2018-03-23,2018-03-23,1,1,-3.18
91,2018-07-02,2018-07-02,1,1,-2.35
92,2018-10-11,2018-10-11,1,1,-4.44
93,2018-10-23,2018-10-23,1,1,-2.57
94,2019-05-09,2019-05-09,1,1,-3.04
95,2019-07-08,2019-07-08,1,1,-2.2
96,2019-08-05,2019-08-05,1,1,-2.56
97,2020-01-28,2020-01-28,1,1,-3.09
98,2020-02-24,2020-02-28,5,2,-8.13
99,2020-03-06,2020-03-23,18,10,-30.1
100,2020-04-01,2020-04-01,1,1,-3.94
101,2020-05-04,2020-05-04,1,1,-2.68
102,2020-06-12,2020-06-15,4,2,-6.71
103,2020-06-25,2020-06-25,1,1,-2.27
104,2020-08-18,2020-08-20,3,2,-5.54
105,2020-09-22,2020-09-24,3,2,-4.88
106,2020-10-30,2020-10-30,1,1,-2.56
107,2021-01-15,2021-01-18,4,2,-4.32
108,2021-01-26,2021-01-29,4,2,-7.25
109,2021-02-24,2021-02-26,3,2,-2.45
110,2021-11-30,2021-11-30,1,1,-2.42
111,2022-01-25,2022-01-27,3,2,-6.36
112,2022-02-24,2022-02-24,1,1,-2.6
113,2022-03-07,2022-03-07,1,1,-2.29
114,2022-06-13,2022-06-13,1,1,-3.52
115,2022-06-20,2022-06-22,3,2,-4.02
116,2022-07-06,2022-07-06,1,1,-2.13
117,2022-08-29,2022-09-01,4,2,-2.64
118,2022-09-26,2022-09-28,3,2,-5.27
119,2022-12-28,2022-12-28,1,1,-2.24
120,2023-03-14,2023-03-14,1,1,-2.56
121,2023-10-04,2023-10-04,1,1,-2.41
122,2023-10-26,2023-10-26,1,1,-2.71
123,2023-11-07,2023-11-07,1,1,-2.33
124,2024-01-03,2024-01-03,1,1,-2.34
125,2024-01-17,2024-01-17,1,1,-2.47
126,2024-04-16,2024-04-16,1,1,-2.28
127,2024-08-02,2024-08-05,4,2,-12.1
128,2024-09-04,2024-09-04,1,1,-3.15
129,2024-09-30,2024-09-30,1,1,-2.13
130,2024-11-13,2024-11-13,1,1,-2.64
131,2024-12-09,2024-12-09,1,1,-2.78
132,2025-02-03,2025-02-03,1,1,-2.52
133,2025-02-28,2025-02-28,1,1,-3.39
134,2025-03-31,2025-03-31,1,1,-3.0
135,2025-04-07,2025-04-07,1,1,-5.57
136,2025-08-01,2025-08-01,1,1,-3.88
137,2025-09-26,2025-09-26,1,1,-2.45
138,2025-11-04,2025-11-05,2,2,-5.15
139,2025-11-14,2025-11-21,8,3,-7.61
140,2025-12-16,2025-12-16,1,1,-2.24
141,2026-02-02,2026-02-05,4,2,-5.26
